,game_name,tries,accuracy
0,Bridge,1,0.0
1,Bridge,2,2.0
2,Bridge,3,14.000000000000002
3,Bridge,4,18.0
4,Bridge,5,20.0
5,Bridge,6,24.0
6,Bridge,7,26.0
7,Bridge,8,28.000000000000004
8,Bridge,9,32.0
9,Bridge,10,32.0
10,Catapult,1,2.0
11,Catapult,2,2.0
12,Catapult,3,4.0
13,Catapult,4,6.0
14,Catapult,5,16.0
15,Catapult,6,22.0
16,Catapult,7,28.000000000000004
17,Catapult,8,34.0
18,Catapult,9,38.0
19,Catapult,10,44.0
20,Chaining,1,6.0
21,Chaining,2,14.000000000000002
22,Chaining,3,14.000000000000002
23,Chaining,4,18.0
24,Chaining,5,18.0
25,Chaining,6,26.0
26,Chaining,7,26.0
27,Chaining,8,26.0
28,Chaining,9,32.0
29,Chaining,10,34.0
30,Collapse,1,42.0
31,Collapse,2,57.99999999999999
32,Collapse,3,70.0
33,Collapse,4,76.0
34,Collapse,5,86.0
35,Collapse,6,92.0
36,Collapse,7,96.0
37,Collapse,8,96.0
38,Collapse,9,98.0
39,Collapse,10,98.0
40,Launch_A,1,28.000000000000004
41,Launch_A,2,42.0
42,Launch_A,3,56.00000000000001
43,Launch_A,4,57.99999999999999
44,Launch_A,5,64.0
45,Launch_A,6,68.0
46,Launch_A,7,72.0
47,Launch_A,8,72.0
48,Launch_A,9,72.0
49,Launch_A,10,74.0
50,Remove,1,10.0
51,Remove,2,18.0
52,Remove,3,28.000000000000004
53,Remove,4,38.0
54,Remove,5,44.0
55,Remove,6,48.0
56,Remove,7,54.0
57,Remove,8,66.0
58,Remove,9,70.0
59,Remove,10,72.0
60,SeeSaw,1,2.0
61,SeeSaw,2,2.0
62,SeeSaw,3,6.0
63,SeeSaw,4,8.0
64,SeeSaw,5,8.0
65,SeeSaw,6,10.0
66,SeeSaw,7,12.0
67,SeeSaw,8,12.0
68,SeeSaw,9,12.0
69,SeeSaw,10,14.000000000000002
70,Table_A,1,0.0
71,Table_A,2,2.0
72,Table_A,3,4.0
73,Table_A,4,4.0
74,Table_A,5,6.0
75,Table_A,6,6.0
76,Table_A,7,6.0
77,Table_A,8,10.0
78,Table_A,9,16.0
79,Table_A,10,20.0
