game_name,tries,accuracy
Balance,1,8.108108108108109
Balance,2,13.513513513513514
Balance,3,21.62162162162162
Balance,4,21.62162162162162
Balance,5,32.432432432432435
Balance,6,35.13513513513514
Balance,7,35.13513513513514
Balance,8,43.24324324324324
Balance,9,45.94594594594595
Balance,10,48.64864864864865
Falling_B,1,8.571428571428571
Falling_B,2,11.428571428571429
Falling_B,3,14.285714285714285
Falling_B,4,14.285714285714285
Falling_B,5,25.71428571428571
Falling_B,6,34.285714285714285
Falling_B,7,34.285714285714285
Falling_B,8,42.857142857142854
Falling_B,9,45.714285714285715
Falling_B,10,48.57142857142857
Falling_v2,1,8.333333333333332
Falling_v2,2,41.66666666666667
Falling_v2,3,55.55555555555556
Falling_v2,4,58.333333333333336
Falling_v2,5,61.111111111111114
Falling_v2,6,63.888888888888886
Falling_v2,7,69.44444444444444
Falling_v2,8,69.44444444444444
Falling_v2,9,69.44444444444444
Falling_v2,10,69.44444444444444
Launch_B,1,0.0
Launch_B,2,5.555555555555555
Launch_B,3,8.333333333333332
Launch_B,4,11.11111111111111
Launch_B,5,11.11111111111111
Launch_B,6,11.11111111111111
Launch_B,7,16.666666666666664
Launch_B,8,16.666666666666664
Launch_B,9,19.444444444444446
Launch_B,10,22.22222222222222
Shove,1,37.142857142857146
Shove,2,57.14285714285714
Shove,3,80.0
Shove,4,80.0
Shove,5,85.71428571428571
Shove,6,88.57142857142857
Shove,7,88.57142857142857
Shove,8,88.57142857142857
Shove,9,88.57142857142857
Shove,10,88.57142857142857
Table_B,1,2.631578947368421
Table_B,2,5.263157894736842
Table_B,3,5.263157894736842
Table_B,4,7.894736842105263
Table_B,5,7.894736842105263
Table_B,6,13.157894736842104
Table_B,7,13.157894736842104
Table_B,8,18.421052631578945
Table_B,9,18.421052631578945
Table_B,10,18.421052631578945
Table_v2,1,22.22222222222222
Table_v2,2,44.44444444444444
Table_v2,3,47.22222222222222
Table_v2,4,50.0
Table_v2,5,55.55555555555556
Table_v2,6,58.333333333333336
Table_v2,7,61.111111111111114
Table_v2,8,61.111111111111114
Table_v2,9,63.888888888888886
Table_v2,10,66.66666666666666
Unsupport,1,20.0
Unsupport,2,25.71428571428571
Unsupport,3,45.714285714285715
Unsupport,4,54.285714285714285
Unsupport,5,57.14285714285714
Unsupport,6,62.857142857142854
Unsupport,7,68.57142857142857
Unsupport,8,68.57142857142857
Unsupport,9,71.42857142857143
Unsupport,10,74.28571428571429
