gravity,game_name,pvalue,tvalue,avg_attempts_model,avg_attempts_participant
200,Table_B,0.0009,-3.4648,10.0,8.31578947368421
200,Falling_v2,0.0077,-2.7451,7.78,5.027777777777778
200,Falling_B,0.6123,0.5092,6.86,7.314285714285714
200,Shove,0.5205,0.6459,2.3,2.628571428571429
200,Launch_B,0.9249,0.0946,8.44,8.75
200,Balance,0.001,-3.4194,9.16,6.891891891891892
200,Unsupport,0.5694,0.5718,4.44,4.857142857142857
200,Table_v2,0.003,-3.0736,7.72,5.361111111111111
100,Bridge,0.004,-3.1149,8.3,3.4375
100,Remove,0.0068,-2.8962,7.16,3.176470588235294
100,Table_A,0.0,-6.1307,8.52,2.0625
100,Launch_A,0.0639,-1.9242,4.42,3.1875
100,SeeSaw,0.0004,-3.962,9.98,6.294117647058823
100,Chaining,0.1476,-1.4866,7.24,5.4375
100,Catapult,0.0031,-3.213,7.98,3.75
100,Collapse,0.1758,-1.3845,2.32,1.7058823529411764
400,Bridge,0.0034,-3.1758,8.36,4.0625
400,Remove,0.0001,-4.5714,6.24,2.4
400,Table_A,0.0003,-4.0476,9.46,5.1875
400,Launch_A,0.019,-2.4786,4.68,1.8125
400,SeeSaw,0.0004,-4.0369,9.28,4.933333333333334
400,Chaining,0.043,-2.1129,8.2,5.5
400,Catapult,0.0,-7.769,8.48,2.25
400,Collapse,0.0469,-2.0785,2.86,1.6
